State,ZipCode,ConstituentCode,First gift type,First gift fund,FirstgiftBlock,AgeBlock,Gender,Marital status,activeDoner
MN,55807,Alumni ,One-time gift,Men's Basketball Fund,11-50,0-0,Male,,1
MN,Other,Former Parent ,,,0-0,0-0,Male,Married,0
MN,55779,Alumni ,,,0-0,51-60,Female,Single,0
WI,Other,Alumni ,,,0-0,21-30,Male,,0
MN,55812,Alumni ,,,0-0,61-70,Male,Single,0
MN,Other,Parent ,,,0-0,0-0,Male,,0
WI,Other,Friend ,One-time gift,Men's Soccer Fund,11-50,0-0,Female,Married,1
WI,54880,Friend ,Soft credit one-time gift,Other,11-50,0-0,Female,Widowed,1
OR,Other,Alumni ,Pledge,Superior Fund,11-50,0-0,Male,Married,1
MN,55720,Parent ,,,0-0,0-0,Unknown,Widowed,0
,,Students ,,,0-0,31-40,Unknown,,0
WI,54874,Retired Faculty/Staff ,,,0-0,0-0,Male,,0
Other,Other,Alumni ,,,0-0,0-0,Female,,0
CO,Other,Alumni ,,,0-0,51-60,Male,Married,0
IA,Other,Alumni ,,,0-0,41-50,Male,Divorced,0
MN,Other,Alumni ,,,0-0,31-40,Male,Single,0
WI,54864,Friend ,One-time gift,"Gigliotti, Tony, Scholarship",51-100,0-0,Female,Married,1
WI,54874,Alumni ,One-time gift,"Gigliotti, Tony, Scholarship",11-50,31-40,Male,,1
MN,Other,Alumni ,,,0-0,31-40,Male,,0
MN,Other,Former Parent ,,,0-0,0-0,Unknown,,0
WI,Other,Alumni ,,,0-0,31-40,Female,Single,0
FL,Other,Alumni ,,,0-0,0-0,Female,,0
,,Students ,,,0-0,31-40,Unknown,,0
MN,55807,Alumni ,,,0-0,41-50,Female,,0
NY,Other,Alumni ,,,0-0,0-0,Female,,0
CA,Other,Friend ,One-time gift,Track and Cross Country Fund,51-100,0-0,Female,Married,1
,,Students ,,,0-0,21-30,Unknown,,0
WI,54843,Parent ,,,0-0,0-0,Unknown,Married,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
MN,55811,Parent ,,,0-0,0-0,Unknown,Married,0
MN,55811,Alumni ,,,0-0,21-30,Unknown,,0
WI,Other,Alumni ,,,0-0,21-30,Male,,0
,,Alumni ,,,0-0,71-80,Unknown,,0
MN,55804,Alumni ,,,0-0,61-70,Male,Married,0
MN,55803,Alumni ,,,0-0,31-40,Male,,0
Other,Other,Business ,One-time gift,Men's Basketball Fund,51-100,0-0,,,1
IL,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
FL,Other,Attended Didn't Graduate ,,,0-0,71-80,Male,,0
WI,Other,Friend ,One-time gift,Men's Soccer Fund,11-50,0-0,Male,Married,1
WI,54880,Business ,,,0-0,0-0,,,0
MN,55802,Business ,One-time gift,Women's Athletics Fund,11-50,0-0,,,1
NY,Other,Alumni ,,,0-0,31-40,Male,Single,0
,,Students ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,31-40,Female,,0
,,Alumni ,,,0-0,0-0,Male,,0
WI,54843,Alumni ,,,0-0,41-50,Female,Married,0
,,Students ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,21-30,Male,,0
TX,Other,Friend ,One-time gift,Men's Baseball Fund,51-100,0-0,Male,,1
MN,55733,Alumni ,,,0-0,41-50,Female,Single,0
MN,55733,Alumni ,,,0-0,41-50,Male,Single,0
WI,Other,Alumni ,One-time gift,Superior Fund,11-50,Over 80,Female,,1
WI,Other,Parent ,,,0-0,0-0,Male,Married,0
OR,Other,Alumni ,,,0-0,51-60,Female,Married,0
WI,Other,Alumni ,,,0-0,31-40,Male,,0
WI,Other,Former Parent ,,,0-0,0-0,Male,Married,0
WA,Other,Alumni ,,,0-0,0-0,Male,,0
MN,55811,Alumni ,,,0-0,61-70,Female,,0
MN,Other,Parent ,One-time gift,Men's Basketball Fund,101-500,0-0,Female,Married,1
MN,Other,Alumni ,,,0-0,0-0,Male,,0
MN,55805,Alumni ,,,0-0,41-50,Female,Single,0
MN,Other,Alumni ,,,0-0,21-30,Male,,0
WI,Other,Alumni ,,,0-0,71-80,Female,Married,0
MN,Other,Alumni ,,,0-0,41-50,Female,Single,0
MN,Other,Alumni ,,,0-0,41-50,Female,Married,0
WI,54801,Alumni ,,,0-0,51-60,Female,Married,0
MN,Other,Alumni ,One-time gift,Men's Basketball Fund,101-500,41-50,Female,Married,1
MN,55616,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Parent ,Soft credit one-time gift,Men's Basketball Fund,101-500,0-0,Male,Married,1
MN,Other,Alumni ,,,0-0,21-30,Female,,0
MN,Other,Alumni ,,,0-0,0-0,Female,Married,0
,,Students ,,,0-0,21-30,Male,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
NV,Other,Alumni ,,,0-0,Over 80,Male,Married,0
,,Students ,,,0-0,21-30,Female,,0
MI,49938,Alumni ,,,0-0,61-70,Female,Married,0
,,Students ,,,0-0,21-30,Unknown,,0
MN,Other,Parent ,One-time gift,Women's Hockey Fund,101-500,0-0,Male,Married,1
WI,54843,Alumni ,,,0-0,51-60,Female,,0
MN,55803,Alumni ,,,0-0,41-50,Male,Single,0
MN,55803,Alumni ,,,0-0,51-60,Female,Widowed,0
MN,55767,Alumni ,,,0-0,31-40,Female,Single,0
IA,Other,Attended Didn't Graduate ,,,0-0,71-80,Male,,0
,,Students ,,,0-0,21-30,Unknown,,0
MN,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
MN,55804,Friend ,One-time gift,Other,11-50,0-0,Unknown,,1
MN,55616,Alumni ,,,0-0,31-40,Male,Single,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,54880,Friend ,One-time gift,Other,51-100,0-0,Female,Married,1
WI,Other,Alumni ,,,0-0,51-60,Female,,0
MN,55803,Alumni ,,,0-0,0-0,Unknown,,0
MD,Other,Alumni ,,,0-0,51-60,Male,Married,0
MI,Other,Friend ,,,0-0,0-0,Male,,0
MN,Other,Former Parent ,,,0-0,0-0,Female,,0
WI,54843,Alumni ,,,0-0,31-40,Female,Single,0
WI,Other,Friend ,One-time gift,Total gifts given prior to 7/1/86,101-500,0-0,Male,Married,1
WI,Other,Friend ,,,0-0,0-0,Male,,0
MN,55779,Alumni ,,,0-0,41-50,Female,,0
Other,Other,Alumni ,,,0-0,0-0,Female,Married,0
,,Students ,,,0-0,21-30,Male,,0
MN,55616,Alumni ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,One-time gift,Other,101-500,Over 80,Male,Married,1
MN,55808,Alumni ,,,0-0,31-40,Female,Married,0
MN,55616,Parent ,One-time gift,Women's Soccer Fund,51-100,0-0,Female,Married,1
MI,Other,Alumni ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,21-30,Female,,0
MN,55616,Parent ,,,0-0,0-0,Unknown,Married,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
WI,54873,Alumni ,,,0-0,31-40,Male,Single,0
WI,Other,Alumni ,,,0-0,51-60,Female,,0
,,Friend ,One-time gift,Other,0-10,0-0,Unknown,Married,1
,,Attended Didn't Graduate ,,,0-0,41-50,Unknown,,0
WI,Other,Alumni ,,,0-0,41-50,Female,Divorced,0
MN,55616,Parent ,Soft credit one-time gift,Women's Soccer Fund,51-100,0-0,Male,Married,1
MN,55808,Alumni ,,,0-0,21-30,Male,,0
MN,Other,Former Parent ,,,0-0,0-0,Male,,0
WI,54874,Parent ,,,0-0,0-0,Male,Married,0
IL,Other,Alumni ,,,0-0,41-50,Male,,0
Other,Other,Alumni ,,,0-0,61-70,Female,Married,0
NY,Other,Alumni ,,,0-0,61-70,Female,Married,0
WI,Other,Alumni ,,,0-0,41-50,Female,,0
,,Students ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,21-30,Male,,0
CA,Other,Alumni ,,,0-0,0-0,Male,,0
WI,Other,Former Parent ,,,0-0,0-0,Female,,0
WI,Other,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MN,55804,Alumni ,One-time gift,Other,11-50,61-70,Female,Married,1
MN,Other,Alumni ,,,0-0,41-50,Female,,0
MN,55779,Alumni ,,,0-0,41-50,Female,Married,0
OH,Other,Alumni ,,,0-0,0-0,Female,Married,0
OH,Other,Alumni ,,,0-0,0-0,Male,Married,0
,,Alumni ,,,0-0,31-40,Male,,0
MN,Other,Attended Didn't Graduate ,,,0-0,21-30,Unknown,,0
MN,Other,Parent ,,,0-0,0-0,Unknown,Married,0
WI,Other,Attended Didn't Graduate ,,,0-0,21-30,Unknown,,0
MN,Other,Alumni ,,,0-0,61-70,Female,Married,0
WI,54843,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Unknown,Married,1
WI,Other,Parent ,,,0-0,0-0,Unknown,Married,0
,,Students ,,,0-0,21-30,Male,,0
,,Students ,,,0-0,21-30,Male,,0
,,Students ,,,0-0,21-30,Male,,0
,,Attended Didn't Graduate ,,,0-0,21-30,Unknown,,0
,,Students ,,,0-0,21-30,Male,,0
OH,Other,Alumni ,,,0-0,0-0,Male,,0
IL,Other,Parent ,,,0-0,0-0,Male,Married,0
IL,Other,Alumni ,,,0-0,21-30,Female,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
WI,54843,Alumni ,,,0-0,0-0,Male,,0
TX,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,54880,Alumni ,One-time gift,Total gifts given prior to 7/1/86,11-50,0-0,Female,Married,1
WI,54880,Alumni ,One-time gift,Total gifts given prior to 7/1/86,11-50,0-0,Male,Married,1
IA,Other,Alumni ,,,0-0,51-60,Male,Married,0
WI,54880,Alumni ,One-time gift,Superior Fund,11-50,0-0,Male,,1
WI,54880,Alumni ,,,0-0,41-50,Female,Married,0
MN,55720,Business ,,,0-0,0-0,,,0
WI,54880,Business ,,,0-0,0-0,,,0
WI,54880,Former Faculty & Staff ,,,0-0,0-0,Male,,0
WI,Other,Friend ,One-time gift,Other,11-50,0-0,Male,Married,1
WI,Other,Friend ,One-time gift,Track and Cross Country Fund,11-50,0-0,Male,Married,1
,,Attended Didn't Graduate ,,,0-0,41-50,Female,,0
MN,Other,Business ,One-time gift,Other,101-500,0-0,,,1
MN,Other,Business ,One-time gift,Other,501-1000,0-0,,,1
WI,54806,Friend ,One-time gift,Other,0-10,0-0,Male,,1
WI,Other,Former Parent ,,,0-0,0-0,Unknown,,0
WI,Other,Alumni ,,,0-0,51-60,Female,,0
,,Faculty/Staff ,,,0-0,0-0,Female,,0
MN,55720,Alumni ,,,0-0,51-60,Female,,0
NY,Other,Alumni ,One-time gift,Superior Fund,11-50,61-70,Female,Married,1
MN,Other,Alumni ,,,0-0,41-50,Male,Single,0
MN,55811,Former Faculty & Staff ,One-time gift,Other,11-50,0-0,Male,,1
WI,Other,Parent ,,,0-0,0-0,Male,Married,0
WI,Other,Alumni ,,,0-0,21-30,Male,,0
,,Students ,,,0-0,21-30,Male,,0
IL,Other,Alumni ,,,0-0,41-50,Female,,0
CA,Other,Parent ,One-time gift,Men's Baseball Fund,11-50,0-0,Male,,1
,,Students ,,,0-0,21-30,Female,,0
MN,55110,Alumni ,,,0-0,31-40,Female,Single,0
MN,Other,Alumni ,,,0-0,21-30,Female,,0
MN,Other,Parent ,,,0-0,0-0,Unknown,Married,0
MN,55805,Alumni ,One-time gift,Other,11-50,71-80,Female,Married,1
WI,Other,Alumni ,,,0-0,0-0,Male,,0
WI,54880,Alumni ,,,0-0,21-30,Unknown,Married,0
,,Students ,,,0-0,21-30,Unknown,,0
NC,Other,Alumni ,,,0-0,41-50,Male,Single,0
MN,Other,Alumni ,,,0-0,31-40,Female,Single,0
MN,55811,Former Parent ,One-time gift,Men's Basketball Fund,11-50,0-0,Male,Married,1
MN,Other,Alumni ,,,0-0,0-0,Female,,0
WI,54873,Alumni ,Soft credit one-time gift,Other,51-100,71-80,Female,Married,1
Other,Other,Alumni ,Pledge,Other,51-100,41-50,Female,Married,1
MN,55811,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
MN,55811,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,54873,Alumni ,One-time gift,Total gifts given prior to 7/1/86,0-10,0-0,Male,Married,1
WI,54880,Alumni ,Pledge,Superior Fund,0-10,0-0,Female,Married,1
WI,54880,Attended Didn't Graduate ,Soft credit one-time gift,Other,11-50,0-0,Male,Married,1
CA,Other,Alumni ,,,0-0,41-50,Male,Single,0
WI,Other,Parent ,,,0-0,0-0,Male,Married,0
MI,Other,Alumni ,,,0-0,21-30,Female,,0
WI,54843,Former Parent ,,,0-0,0-0,Male,Married,0
,,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
WI,54843,Former Parent ,,,0-0,0-0,Female,Married,0
MN,Other,Friend ,One-time gift,Women's Tennis Fund,51-100,0-0,Unknown,,1
MN,55803,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,0-0,Unknown,,0
GA,Other,Alumni ,One-time gift,Superior Fund,51-100,41-50,Male,Single,1
CO,Other,Alumni ,,,0-0,Over 80,Female,Married,0
,,Students ,,,0-0,21-30,Male,,0
MN,55806,Alumni ,,,0-0,0-0,Unknown,,0
WI,Other,Alumni ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,,,0-0,51-60,Male,,0
OR,Other,Alumni ,,,0-0,31-40,Male,,0
,,Students ,,,0-0,21-30,Female,,0
MN,Other,Alumni ,,,0-0,51-60,Male,,0
WI,Other,Alumni ,,,0-0,51-60,Male,,0
WI,54880,Alumni ,One-time gift,Other,11-50,0-0,Male,Married,1
WI,54880,Alumni ,,,0-0,0-0,Male,,0
OH,Other,Alumni ,,,0-0,41-50,Female,Single,0
,,Students ,,,0-0,21-30,Female,,0
,,Attended Didn't Graduate ,,,0-0,21-30,Female,,0
MN,55110,Alumni ,,,0-0,0-0,Male,,0
MN,55811,Alumni ,Pledge,Superior Fund,0-10,41-50,Female,Married,1
MN,55767,Parent ,,,0-0,0-0,Unknown,Married,0
,,Alumni ,,,0-0,0-0,Male,,0
MN,55733,Alumni ,,,0-0,0-0,Male,Married,0
WI,54501,Alumni ,,,0-0,0-0,Male,Married,0
WI,54016,Alumni ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,,,0-0,0-0,Female,,0
MI,Other,Alumni ,Pledge,Superior Fund,0-10,51-60,Female,Married,1
TN,Other,Alumni ,,,0-0,0-0,Unknown,,0
WI,54843,Alumni ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,,,0-0,31-40,Male,,0
MN,55803,Alumni ,One-time gift,Total gifts given prior to 7/1/86,11-50,0-0,Female,Widowed,1
MN,Other,Friend ,Soft credit one-time gift,Men's Baseball Fund,51-100,0-0,Female,Widowed,1
,,Friend ,,,0-0,0-0,Unknown,,0
,,Students ,,,0-0,21-30,Female,,0
MI,49938,Alumni ,,,0-0,31-40,Female,Single,0
,,Students ,,,0-0,31-40,Unknown,,0
WI,Other,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,31-40,Female,,0
MN,Other,Alumni ,,,0-0,Over 80,Female,Married,0
MN,Other,Alumni ,,,0-0,41-50,Female,Single,0
,,Attended Didn't Graduate ,,,0-0,21-30,Female,,0
MN,Other,Alumni ,Pledge,Other,0-10,51-60,Male,Married,1
WI,54880,Former Parent ,,,0-0,0-0,Male,,0
,,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
GA,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
MD,Other,Friend ,One-time gift,Other,51-100,0-0,Male,Married,1
WA,Other,Friend ,,,0-0,0-0,Male,Married,0
,,Alumni ,,,0-0,0-0,Female,,0
MN,55803,Alumni ,,,0-0,51-60,Female,,0
,,Alumni ,,,0-0,0-0,Female,,0
MN,55811,Alumni ,,,0-0,41-50,Female,Single,0
,,Students ,,,0-0,61-70,Unknown,,0
WI,54880,Business ,,,0-0,0-0,,,0
WA,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
WI,Other,Attended Didn't Graduate ,One-time gift,Superior Fund,11-50,0-0,Female,,1
MN,Other,Friend ,One-time gift,Total gifts given prior to 7/1/86,51-100,0-0,Male,,1
WI,Other,Alumni ,,,0-0,41-50,Female,,0
FL,Other,Business ,Pledge payment,Other,101-500,0-0,,,1
WI,Other,Business ,One-time gift,Men's Basketball Fund,101-500,0-0,,,1
,,Faculty/Staff ,,,0-0,0-0,Female,,0
WI,54016,Attended Didn't Graduate ,,,0-0,0-0,Male,Married,0
IL,Other,Alumni ,,,0-0,0-0,Male,,0
CO,Other,Alumni ,,,0-0,31-40,Unknown,Married,0
MN,Other,Friend ,One-time gift,Women's Soccer Fund,101-500,0-0,Male,Married,1
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
,,Alumni ,,,0-0,0-0,Male,,0
MN,55808,Alumni ,One-time gift,Total gifts given prior to 7/1/86,0-10,0-0,Female,Married,1
CO,Other,Attended Didn't Graduate ,One-time gift,Other,11-50,0-0,Male,Married,1
WI,54880,Friend ,One-time gift,Other,11-50,0-0,Male,Married,1
WI,Other,Alumni ,,,0-0,31-40,Female,,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
,,Alumni ,,,0-0,Over 80,Female,,0
MN,Other,Former Parent ,,,0-0,0-0,Female,,0
MN,55810,Alumni ,,,0-0,41-50,Male,Single,0
MN,55808,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MN,55811,Alumni ,,,0-0,31-40,Female,Single,0
MN,55812,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
WI,54880,Alumni ,,,0-0,31-40,Female,,0
,,Alumni ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,0-20,Female,,0
VA,Other,Parent ,,,0-0,0-0,Unknown,,0
VA,Other,Alumni ,,,0-0,0-0,Female,,0
NV,Other,Alumni ,Soft credit one-time gift,Superior Fund,11-50,0-0,Female,Widowed,1
IA,Other,Alumni ,,,0-0,0-0,Female,,0
TX,Other,Alumni ,Pledge,Superior Fund,11-50,0-0,Male,,1
,,Alumni ,,,0-0,61-70,Male,Married,0
WA,Other,Friend ,,,0-0,0-0,Unknown,,0
,,Students ,,,0-0,31-40,Unknown,,0
WI,54880,Alumni ,,,0-0,41-50,Male,Single,0
MN,55805,Business ,One-time gift,Other,101-500,0-0,,,1
MN,55805,Alumni ,,,0-0,0-0,Unknown,,0
MN,55811,Alumni ,,,0-0,41-50,Female,Married,0
,,Students ,,,0-0,0-20,Female,,0
,,Students ,,,0-0,21-30,Unknown,,0
FL,Other,Attended Didn't Graduate ,,,0-0,71-80,Male,,0
NC,Other,Alumni ,,,0-0,41-50,Male,Divorced,0
MN,55802,Friend ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,0-0,Female,,0
,,Students ,,,0-0,21-30,Unknown,,0
MN,55733,Parent ,,,0-0,0-0,Male,Married,0
MN,55811,Alumni ,,,0-0,31-40,Unknown,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
WI,54868,Alumni ,,,0-0,41-50,Male,Married,0
Other,Other,Friend ,One-time gift,Other,101-500,0-0,Female,Married,1
NJ,Other,Former Parent ,,,0-0,0-0,Unknown,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MN,55779,Alumni ,,,0-0,61-70,Female,Married,0
WI,Other,Parent ,,,0-0,0-0,Male,Married,0
WI,Other,Alumni ,,,0-0,21-30,Unknown,,0
WI,Other,Alumni ,,,0-0,61-70,Male,,0
WI,Other,Friend ,One-time gift,Other,101-500,0-0,Male,Married,1
MN,Other,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Parent ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,21-30,Female,,0
Other,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
WI,54880,Alumni ,,,0-0,61-70,Female,Married,0
Other,Other,Alumni ,One-time gift,Foundation Scholarship Fund,11-50,0-0,Male,Married,1
IL,Other,Alumni ,,,0-0,0-0,Female,,0
MI,Other,Alumni ,,,0-0,41-50,Female,Married,0
OR,Other,Alumni ,,,0-0,51-60,Female,,0
CA,Other,Business ,One-time gift,Men's Baseball Fund,101-500,0-0,,,1
,,Students ,,,0-0,31-40,Unknown,,0
MN,Other,Parent ,,,0-0,0-0,Male,Married,0
MN,55082,Alumni ,,,0-0,21-30,Male,,0
MN,55811,Alumni ,,,0-0,31-40,Male,Single,0
WI,Other,Alumni ,,,0-0,31-40,Female,,0
MN,Other,Alumni ,,,0-0,21-30,Male,,0
WI,Other,Alumni ,,,0-0,51-60,Female,Single,0
MN,55082,Business ,One-time gift,Men's Baseball Fund,101-500,0-0,,,1
WI,54880,Alumni ,,,0-0,41-50,Female,Single,0
MN,55807,Parent ,,,0-0,0-0,Unknown,Married,0
,,Students ,,,0-0,31-40,Male,,0
MN,Other,Other Organizations ,One-time gift,Women's Softball Fund,51-100,0-0,,,1
WI,Other,Alumni ,,,0-0,31-40,Unknown,,0
WI,54880,Alumni ,Pledge,Superior Fund,11-50,61-70,Female,Single,1
WI,54701,Friend ,One-time gift,Women's Athletics Fund,11-50,0-0,Female,,1
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WA,Other,Friend ,,,0-0,41-50,Female,,0
MN,Other,Former Parent ,,,0-0,0-0,Male,Married,0
WI,Other,Alumni ,One-time gift,Superior Fund,11-50,0-0,Female,Married,1
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MN,Other,Alumni ,,,0-0,21-30,Male,,0
,,Students ,,,0-0,31-40,Female,,0
WI,Other,Former Parent ,,,0-0,0-0,Female,,0
WI,54868,Alumni ,One-time gift,Other,11-50,0-0,Female,,1
WI,54880,Parent ,,,0-0,0-0,Unknown,,0
,,Students ,,,0-0,0-20,Female,,0
,,Students ,,,0-0,0-0,Female,,0
MN,55807,Alumni ,,,0-0,41-50,Male,,0
WI,Other,Alumni ,,,0-0,61-70,Female,Married,0
