State,ConstituentCode,AgeBlock,Gender,Marital status,activeDoner
WI,Friend ,0-0,Female,Widowed,1
OR,Alumni ,0-0,Male,Married,1
MN,Parent ,0-0,Unknown,Widowed,0
,Students ,31-40,Unknown,,0
WI,Retired Faculty/Staff ,0-0,Male,,0
ME,Alumni ,0-0,Female,,0
CO,Alumni ,51-60,Male,Married,0
IA,Alumni ,41-50,Male,Divorced,0
MN,Alumni ,31-40,Male,Single,0
WI,Friend ,0-0,Female,Married,1
WI,Alumni ,31-40,Male,,1
MN,Alumni ,31-40,Male,,0
MN,Former Parent ,0-0,Unknown,,0
WI,Alumni ,31-40,Female,Single,0
FL,Alumni ,0-0,Female,,0
,Students ,31-40,Unknown,,0
MN,Alumni ,41-50,Female,,0
NY,Alumni ,0-0,Female,,0
CA,Friend ,0-0,Female,Married,1
,Students ,21-30,Unknown,,0
WI,Parent ,0-0,Unknown,Married,0
WI,Alumni ,0-0,Female,,0
MN,Parent ,0-0,Unknown,Married,0
MN,Alumni ,21-30,Unknown,,0
WI,Alumni ,21-30,Male,,0
,Alumni ,71-80,Unknown,,0
MN,Alumni ,61-70,Male,Married,0
MN,Alumni ,31-40,Male,,0
LA,Business ,0-0,,,1
IL,Attended Didn't Graduate ,0-0,Male,,0
FL,Attended Didn't Graduate ,71-80,Male,,0
WI,Friend ,0-0,Male,Married,1
WI,Business ,0-0,,,0
MN,Business ,0-0,,,1
NY,Alumni ,31-40,Male,Single,0
,Students ,21-30,Female,,0
,Students ,31-40,Female,,0
,Alumni ,0-0,Male,,0
WI,Alumni ,41-50,Female,Married,0
,Students ,21-30,Female,,0
,Students ,21-30,Male,,0
TX,Friend ,0-0,Male,,1
MN,Alumni ,41-50,Female,Single,0
MN,Alumni ,41-50,Male,Single,0
WI,Alumni ,Over 80,Female,,1
WI,Parent ,0-0,Male,Married,0
OR,Alumni ,51-60,Female,Married,0
WI,Alumni ,31-40,Male,,0
WI,Former Parent ,0-0,Male,Married,0
WA,Alumni ,0-0,Male,,0
MN,Alumni ,61-70,Female,,0
MN,Parent ,0-0,Female,Married,1
MN,Alumni ,0-0,Male,,0
MN,Alumni ,41-50,Female,Single,0
MN,Alumni ,21-30,Male,,0
WI,Alumni ,71-80,Female,Married,0
MN,Alumni ,41-50,Female,Single,0
MN,Alumni ,41-50,Female,Married,0
WI,Alumni ,51-60,Female,Married,0
MN,Alumni ,41-50,Female,Married,1
MN,Alumni ,0-0,Male,,0
MN,Parent ,0-0,Male,Married,1
MN,Alumni ,21-30,Female,,0
MN,Alumni ,0-0,Female,Married,0
,Students ,21-30,Male,,0
,Attended Didn't Graduate ,0-0,Unknown,,0
NV,Alumni ,Over 80,Male,Married,0
,Students ,21-30,Female,,0
MI,Alumni ,61-70,Female,Married,0
,Students ,21-30,Unknown,,0
MN,Parent ,0-0,Male,Married,1
WI,Alumni ,51-60,Female,,0
MN,Alumni ,41-50,Male,Single,0
MN,Alumni ,51-60,Female,Widowed,0
MN,Alumni ,31-40,Female,Single,0
IA,Attended Didn't Graduate ,71-80,Male,,0
,Students ,21-30,Unknown,,0
MN,Attended Didn't Graduate ,0-0,Male,,0
MN,Friend ,0-0,Unknown,,1
MN,Alumni ,31-40,Male,Single,0
,Attended Didn't Graduate ,0-0,Female,,0
WI,Friend ,0-0,Female,Married,1
WI,Alumni ,51-60,Female,,0
MN,Alumni ,0-0,Unknown,,0
MD,Alumni ,51-60,Male,Married,0
MI,Friend ,0-0,Male,,0
MN,Former Parent ,0-0,Female,,0
WI,Alumni ,31-40,Female,Single,0
WI,Friend ,0-0,Male,Married,1
WI,Friend ,0-0,Male,,0
MN,Alumni ,41-50,Female,,0
KY,Alumni ,0-0,Female,Married,0
,Students ,21-30,Male,,0
MN,Alumni ,0-0,Female,,0
WI,Alumni ,Over 80,Male,Married,1
MN,Alumni ,31-40,Female,Married,0
MN,Parent ,0-0,Female,Married,1
MI,Alumni ,0-0,Male,,0
,Students ,21-30,Female,,0
MN,Parent ,0-0,Unknown,Married,0
,Attended Didn't Graduate ,0-0,Female,,0
WI,Alumni ,0-0,Female,,0
WI,Alumni ,31-40,Male,Single,0
WI,Alumni ,51-60,Female,,0
,Friend ,0-0,Unknown,Married,1
,Attended Didn't Graduate ,41-50,Unknown,,0
WI,Alumni ,41-50,Female,Divorced,0
MN,Parent ,0-0,Male,Married,1
MN,Alumni ,21-30,Male,,0
MN,Former Parent ,0-0,Male,,0
WI,Parent ,0-0,Male,Married,0
IL,Alumni ,41-50,Male,,0
SC,Alumni ,61-70,Female,Married,0
NY,Alumni ,61-70,Female,Married,0
WI,Alumni ,41-50,Female,,0
,Students ,21-30,Female,,0
,Students ,21-30,Male,,0
CA,Alumni ,0-0,Male,,0
WI,Former Parent ,0-0,Female,,0
WI,Attended Didn't Graduate ,0-0,Female,,0
MN,Alumni ,61-70,Female,Married,1
MN,Alumni ,41-50,Female,,0
MN,Alumni ,41-50,Female,Married,0
OH,Alumni ,0-0,Female,Married,0
OH,Alumni ,0-0,Male,Married,0
,Alumni ,31-40,Male,,0
MN,Attended Didn't Graduate ,21-30,Unknown,,0
MN,Parent ,0-0,Unknown,Married,0
WI,Attended Didn't Graduate ,21-30,Unknown,,0
MN,Alumni ,61-70,Female,Married,0
WI,Friend ,0-0,Unknown,Married,1
WI,Parent ,0-0,Unknown,Married,0
,Students ,21-30,Male,,0
,Students ,21-30,Male,,0
,Students ,21-30,Male,,0
,Attended Didn't Graduate ,21-30,Unknown,,0
,Students ,21-30,Male,,0
OH,Alumni ,0-0,Male,,0
IL,Parent ,0-0,Male,Married,0
IL,Alumni ,21-30,Female,,0
,Attended Didn't Graduate ,0-0,Male,,0
WI,Alumni ,0-0,Male,,0
TX,Attended Didn't Graduate ,0-0,Male,,0
,Attended Didn't Graduate ,0-0,Female,,0
WI,Alumni ,0-0,Female,Married,1
WI,Alumni ,0-0,Male,Married,1
IA,Alumni ,51-60,Male,Married,0
WI,Alumni ,0-0,Male,,1
WI,Alumni ,41-50,Female,Married,0
MN,Business ,0-0,,,0
WI,Business ,0-0,,,0
WI,Former Faculty & Staff ,0-0,Male,,0
WI,Friend ,0-0,Male,Married,1
WI,Friend ,0-0,Male,Married,1
,Attended Didn't Graduate ,41-50,Female,,0
MN,Business ,0-0,,,1
MN,Business ,0-0,,,1
WI,Friend ,0-0,Male,,1
WI,Former Parent ,0-0,Unknown,,0
WI,Alumni ,51-60,Female,,0
,Faculty/Staff ,0-0,Female,,0
MN,Alumni ,51-60,Female,,0
NY,Alumni ,61-70,Female,Married,1
MN,Alumni ,41-50,Male,Single,0
MN,Former Faculty & Staff ,0-0,Male,,1
WI,Parent ,0-0,Male,Married,0
WI,Alumni ,21-30,Male,,0
,Students ,21-30,Male,,0
IL,Alumni ,41-50,Female,,0
CA,Parent ,0-0,Male,,1
,Students ,21-30,Female,,0
MN,Alumni ,31-40,Female,Single,0
MN,Alumni ,21-30,Female,,0
MN,Parent ,0-0,Unknown,Married,0
MN,Alumni ,71-80,Female,Married,1
WI,Alumni ,0-0,Male,,0
WI,Alumni ,21-30,Unknown,Married,0
,Students ,21-30,Unknown,,0
NC,Alumni ,41-50,Male,Single,0
MN,Alumni ,31-40,Female,Single,0
MN,Former Parent ,0-0,Male,Married,1
MN,Alumni ,0-0,Female,,0
WI,Alumni ,71-80,Female,Married,1
NE,Alumni ,41-50,Female,Married,1
MN,Attended Didn't Graduate ,0-0,Female,,0
,Attended Didn't Graduate ,0-0,Male,,0
MN,Attended Didn't Graduate ,0-0,Female,,0
WI,Alumni ,0-0,Male,Married,1
WI,Alumni ,0-0,Female,Married,1
WI,Attended Didn't Graduate ,0-0,Male,Married,1
CA,Alumni ,41-50,Male,Single,0
WI,Parent ,0-0,Male,Married,0
MI,Alumni ,21-30,Female,,0
WI,Former Parent ,0-0,Male,Married,0
,Attended Didn't Graduate ,21-30,Male,,0
WI,Former Parent ,0-0,Female,Married,0
MN,Friend ,0-0,Unknown,,1
MN,Alumni ,0-0,Male,,0
MN,Alumni ,0-0,Unknown,,0
GA,Alumni ,41-50,Male,Single,1
CO,Alumni ,Over 80,Female,Married,0
,Students ,21-30,Male,,0
MN,Alumni ,0-0,Unknown,,0
WI,Alumni ,0-0,Male,Married,0
MN,Alumni ,51-60,Male,,0
OR,Alumni ,31-40,Male,,0
,Students ,21-30,Female,,0
MN,Alumni ,51-60,Male,,0
WI,Alumni ,51-60,Male,,0
WI,Alumni ,0-0,Male,Married,1
WI,Alumni ,0-0,Male,,0
OH,Alumni ,41-50,Female,Single,0
,Students ,21-30,Female,,0
,Attended Didn't Graduate ,21-30,Female,,0
MN,Alumni ,0-0,Male,,0
MN,Alumni ,41-50,Female,Married,1
MN,Parent ,0-0,Unknown,Married,0
,Alumni ,0-0,Male,,0
MN,Alumni ,0-0,Male,Married,0
WI,Alumni ,0-0,Male,Married,0
WI,Alumni ,0-0,Male,Married,0
MN,Alumni ,0-0,Female,,0
MI,Alumni ,51-60,Female,Married,1
TN,Alumni ,0-0,Unknown,,0
WI,Alumni ,0-0,Male,Married,0
MN,Alumni ,31-40,Male,,0
MN,Alumni ,0-0,Female,Widowed,1
MN,Friend ,0-0,Female,Widowed,1
,Friend ,0-0,Unknown,,0
,Students ,21-30,Female,,0
MI,Alumni ,31-40,Female,Single,0
,Students ,31-40,Unknown,,0
WI,Alumni ,0-0,Male,,0
MN,Alumni ,31-40,Female,,0
MN,Alumni ,Over 80,Female,Married,0
MN,Alumni ,41-50,Female,Single,0
,Attended Didn't Graduate ,21-30,Female,,0
MN,Alumni ,51-60,Male,Married,1
WI,Former Parent ,0-0,Male,,0
,Attended Didn't Graduate ,21-30,Male,,0
GA,Attended Didn't Graduate ,0-0,Male,,0
MD,Friend ,0-0,Male,Married,1
WA,Friend ,0-0,Male,Married,0
,Alumni ,0-0,Female,,0
MN,Alumni ,51-60,Female,,0
,Alumni ,0-0,Female,,0
MN,Alumni ,41-50,Female,Single,0
,Students ,61-70,Unknown,,0
WI,Business ,0-0,,,0
WA,Attended Didn't Graduate ,0-0,Male,,0
WI,Attended Didn't Graduate ,0-0,Female,,1
MN,Friend ,0-0,Male,,1
WI,Alumni ,41-50,Female,,0
FL,Business ,0-0,,,1
WI,Business ,0-0,,,1
,Faculty/Staff ,0-0,Female,,0
WI,Attended Didn't Graduate ,0-0,Male,Married,0
IL,Alumni ,0-0,Male,,0
CO,Alumni ,31-40,Unknown,Married,0
MN,Friend ,0-0,Male,Married,1
,Attended Didn't Graduate ,0-0,Female,,0
,Alumni ,0-0,Male,,0
MN,Alumni ,0-0,Female,Married,1
CO,Attended Didn't Graduate ,0-0,Male,Married,1
WI,Friend ,0-0,Male,Married,1
WI,Alumni ,31-40,Female,,0
WI,Alumni ,0-0,Female,,0
,Alumni ,Over 80,Female,,0
MN,Former Parent ,0-0,Female,,0
MN,Alumni ,41-50,Male,Single,0
MN,Attended Didn't Graduate ,0-0,Female,,0
MN,Alumni ,31-40,Female,Single,0
MN,Attended Didn't Graduate ,0-0,Male,,0
WI,Alumni ,31-40,Female,,0
,Alumni ,21-30,Female,,0
,Students ,0-20,Female,,0
VA,Parent ,0-0,Unknown,,0
VA,Alumni ,0-0,Female,,0
NV,Alumni ,0-0,Female,Widowed,1
IA,Alumni ,0-0,Female,,0
TX,Alumni ,0-0,Male,,1
,Alumni ,61-70,Male,Married,0
WA,Friend ,0-0,Unknown,,0
,Students ,31-40,Unknown,,0
WI,Alumni ,41-50,Male,Single,0
MN,Business ,0-0,,,1
MN,Alumni ,0-0,Unknown,,0
MN,Alumni ,41-50,Female,Married,0
,Students ,0-20,Female,,0
,Students ,21-30,Unknown,,0
FL,Attended Didn't Graduate ,71-80,Male,,0
NC,Alumni ,41-50,Male,Divorced,0
MN,Friend ,0-0,Male,,0
MN,Alumni ,0-0,Female,,0
,Students ,21-30,Unknown,,0
MN,Parent ,0-0,Male,Married,0
MN,Alumni ,31-40,Unknown,,0
,Attended Didn't Graduate ,0-0,Unknown,,0
WI,Alumni ,41-50,Male,Married,0
KS,Friend ,0-0,Female,Married,1
NJ,Former Parent ,0-0,Unknown,,0
,Attended Didn't Graduate ,0-0,Female,,0
MN,Alumni ,61-70,Female,Married,0
WI,Parent ,0-0,Male,Married,0
WI,Alumni ,21-30,Unknown,,0
WI,Alumni ,61-70,Male,,0
WI,Friend ,0-0,Male,Married,1
MN,Alumni ,0-0,Male,,0
MN,Parent ,0-0,Male,,0
,Students ,21-30,Female,,0
NM,Attended Didn't Graduate ,0-0,Male,,0
WI,Alumni ,61-70,Female,Married,0
AR,Alumni ,0-0,Male,Married,1
IL,Alumni ,0-0,Female,,0
MI,Alumni ,41-50,Female,Married,0
OR,Alumni ,51-60,Female,,0
CA,Business ,0-0,,,1
,Students ,31-40,Unknown,,0
MN,Parent ,0-0,Male,Married,0
MN,Alumni ,21-30,Male,,0
MN,Alumni ,31-40,Male,Single,0
WI,Alumni ,31-40,Female,,0
MN,Alumni ,21-30,Male,,0
WI,Alumni ,51-60,Female,Single,0
MN,Business ,0-0,,,1
WI,Alumni ,41-50,Female,Single,0
MN,Parent ,0-0,Unknown,Married,0
,Students ,31-40,Male,,0
MN,Other Organizations ,0-0,,,1
WI,Alumni ,31-40,Unknown,,0
WI,Alumni ,61-70,Female,Single,1
WI,Friend ,0-0,Female,,1
,Attended Didn't Graduate ,0-0,Female,,0
WA,Friend ,41-50,Female,,0
MN,Former Parent ,0-0,Male,Married,0
WI,Alumni ,0-0,Female,Married,1
,Attended Didn't Graduate ,0-0,Female,,0
MN,Alumni ,21-30,Male,,0
,Students ,31-40,Female,,0
WI,Former Parent ,0-0,Female,,0
WI,Alumni ,0-0,Female,,1
WI,Parent ,0-0,Unknown,,0
,Students ,0-20,Female,,0
,Students ,0-0,Female,,0
MN,Alumni ,41-50,Male,,0
WI,Alumni ,61-70,Female,Married,0
CA,Friend ,0-0,Female,Married,1
WI,Parent ,0-0,Unknown,,0
WI,Alumni ,31-40,Male,,0
,Attended Didn't Graduate ,0-0,Female,,0
FL,Retired Faculty/Staff ,0-0,Male,Married,1
MN,Alumni ,51-60,Female,,0
WI,Former Parent ,0-0,Unknown,Married,0
,Attended Didn't Graduate ,0-0,Female,,0
WI,Former Parent ,0-0,Male,Married,0
FL,Alumni ,0-0,Male,,0
WI,Alumni ,71-80,Female,Married,1
WI,Faculty/Staff ,0-0,Female,,1
WI,Friend ,0-0,Male,Married,1
MN,Alumni ,41-50,Female,Married,0
MN,Alumni ,51-60,Male,,0
,Students ,21-30,Female,,0
MN,Alumni ,0-0,Female,,0
WI,Alumni ,51-60,Female,,1
MN,Alumni ,71-80,Female,Widowed,0
,Attended Didn't Graduate ,0-0,Female,,0
,Students ,21-30,Male,,0
WI,Friend ,0-0,Female,,0
MN,Students ,21-30,Female,,1
MN,Friend ,0-0,Male,,1
MN,Parent ,0-0,Female,Married,1
MN,Alumni ,51-60,Female,Married,0
FL,Alumni ,41-50,Female,Single,0
CA,Friend ,0-0,Female,,1
,Alumni ,61-70,Female,,0
MN,Parent ,0-0,Male,Married,0
GA,Alumni ,41-50,Female,,0
WI,Parent ,0-0,Unknown,,0
MN,Alumni ,61-70,Male,Married,1
MN,Alumni ,41-50,Female,Single,0
MN,Alumni ,51-60,Male,,0
,Former Faculty & Staff ,0-0,Male,,0
MN,Friend ,0-0,Male,Married,0
WI,Alumni ,41-50,Female,Single,0
MN,Parent ,0-0,Unknown,,0
MN,Alumni ,31-40,Male,,0
MN,Alumni ,61-70,Male,Widowed,0
MA,Former Faculty & Staff ,0-0,Female,Married,1
TX,Alumni ,31-40,Unknown,,0
WI,Alumni ,21-30,Male,,0
WI,Alumni ,51-60,Female,Married,1
WI,Parent ,0-0,Unknown,Married,0
WI,Attended Didn't Graduate ,0-0,Male,,0
WI,Former Parent ,0-0,Male,Married,0
TN,Alumni ,71-80,Female,Married,0
WI,Alumni ,31-40,Female,,0
MN,Parent ,0-0,Unknown,Married,0
WI,Alumni ,21-30,Female,,0
WI,Alumni ,0-0,Female,Divorced,1
,Students ,41-50,Female,,0
,Attended Didn't Graduate ,0-0,Male,,0
WI,Alumni ,41-50,Male,Single,0
OH,Attended Didn't Graduate ,0-0,Male,,1
,Attended Didn't Graduate ,41-50,Unknown,,0
WI,Alumni ,0-0,Female,Married,0
MN,Alumni ,51-60,Female,,0
WI,Alumni ,21-30,Unknown,,0
WI,Parent ,0-0,Unknown,Married,0
WI,Alumni ,0-0,Unknown,,0
MN,Alumni ,61-70,Male,,0
MN,Alumni ,61-70,Male,,0
WI,Business ,0-0,,,1
MO,Alumni ,41-50,Male,Married,1
MN,Alumni ,31-40,Female,,0
WI,Alumni ,41-50,Male,Married,0
WI,Alumni ,21-30,Female,,0
MN,Alumni ,51-60,Female,,0
MN,Alumni ,41-50,Female,Married,1
WI,Alumni ,61-70,Female,Married,0
WI,Alumni ,0-0,Male,Married,0
,Students ,21-30,Female,,0
WI,Parent ,0-0,Male,Married,0
RI,Alumni ,0-0,Female,Married,1
,Attended Didn't Graduate ,0-0,Female,,0
,Students ,0-20,Male,,0
MN,Alumni ,61-70,Female,Married,0
TX,Friend ,0-0,Male,,0
,Students ,21-30,Female,,0
VA,Alumni ,41-50,Male,Single,0
WI,Friend ,0-0,Male,,0
AL,Alumni ,71-80,Female,Married,0
WI,Parent ,0-0,Unknown,,0
,Students ,31-40,Female,,0
MN,Friend ,0-0,Female,,1
MI,Alumni ,0-0,Female,,0
MN,Alumni ,21-30,Unknown,,0
WI,Students ,41-50,Female,,0
MN,Alumni ,0-0,Male,Married,0
MN,Alumni ,0-0,Male,Married,0
WI,Parent ,0-0,Unknown,,0
,Students ,31-40,Unknown,,0
,Attended Didn't Graduate ,21-30,Male,,0
WI,Parent ,0-0,Female,,0
MN,Alumni ,0-0,Female,Married,0
,Attended Didn't Graduate ,0-0,Female,,0
WI,Alumni ,71-80,Female,Married,0
WI,Alumni ,0-0,Female,Married,1
WI,Attended Didn't Graduate ,0-0,Male,,0
MN,Alumni ,71-80,Female,Married,0
CA,Alumni ,71-80,Male,Married,0
WI,Alumni ,0-0,Female,,0
WI,Friend ,0-0,Unknown,Married,1
FL,Alumni ,0-0,Female,Married,0
,Faculty/Staff ,0-0,Female,,0
MN,Parent ,0-0,Male,,0
WI,Friend ,0-0,Unknown,Married,1
,Students ,21-30,Male,,0
MN,Alumni ,21-30,Female,,0
WI,Alumni ,41-50,Male,Married,0
WI,Alumni ,51-60,Female,Married,0
WI,Former Parent ,0-0,Female,,0
SD,Alumni ,51-60,Female,,0
OR,Parent ,0-0,Unknown,Married,0
MI,Alumni ,0-0,Female,Married,1
MN,Alumni ,51-60,Female,Married,0
MN,Alumni ,41-50,Female,Single,0
,Students ,21-30,Unknown,,0
WI,Alumni ,61-70,Female,Married,1
,Attended Didn't Graduate ,61-70,Unknown,,0
MN,Business ,0-0,,,0
WI,Attended Didn't Graduate ,0-0,Female,Single,0
AK,Alumni ,0-0,Male,,0
MN,Alumni ,0-0,Male,Married,1
WI,Alumni ,0-0,Male,Married,1
,Attended Didn't Graduate ,21-30,Female,,0
UT,Parent ,0-0,Male,Married,1
,Students ,21-30,Male,,0
UT,Friend ,0-0,Female,Married,1
KY,Business ,0-0,,,1
MN,Business ,0-0,,,1
MN,Alumni ,0-0,Male,,0
MN,Alumni ,21-30,Male,,0
WI,Parent ,0-0,Unknown,Married,0
WI,Alumni ,0-0,Female,,0
MN,Attended Didn't Graduate ,21-30,Unknown,,0
WI,Alumni ,61-70,Female,Married,0
MN,Friend ,0-0,Unknown,,0
,Students ,21-30,Unknown,,0
MN,Memorial Donor ,0-0,Female,,1
WI,Alumni ,51-60,Unknown,,0
MN,Former Parent ,0-0,Unknown,Married,0
WI,Alumni ,41-50,Female,Single,0
WI,Parent ,0-0,Unknown,,0
MN,Alumni ,21-30,Female,,0
MN,Parent ,0-0,Male,Married,0
WI,Business ,0-0,,,1
NC,Alumni ,0-0,Male,,0
CA,Friend ,0-0,Female,,1
KS,Friend ,0-0,Male,,0
,Attended Didn't Graduate ,0-0,Unknown,,0
WI,Friend ,0-0,Unknown,,1
,Students ,21-30,Female,,0
AZ,Alumni ,71-80,Male,,0
,Attended Didn't Graduate ,21-30,Male,,0
MN,Friend ,0-0,Male,Married,1
,Attended Didn't Graduate ,Over 80,Male,,0
MN,Alumni ,0-0,Male,,0
MN,Parent ,0-0,Unknown,,0
WI,Parent ,0-0,Unknown,,0
,Faculty/Staff ,0-0,Female,,0
MN,Alumni ,31-40,Male,,1
WI,Alumni ,21-30,Female,,0
MN,Friend ,0-0,Male,,1
MN,Alumni ,61-70,Female,,0
MN,Alumni ,0-0,Male,Widowed,1
WI,Former Faculty & Staff ,0-0,Male,,0
WI,Business ,0-0,,,1
WA,Friend ,0-0,Male,,1
MN,Friend ,0-0,Female,,0
WI,Alumni ,21-30,Unknown,,0
WI,Alumni ,51-60,Female,Married,1
WI,Parent ,0-0,Unknown,Married,0
FL,Alumni ,51-60,Female,Single,0
MN,Alumni ,51-60,Male,Married,0
MN,Alumni ,51-60,Female,Married,0
MN,Friend ,0-0,Unknown,,1
MN,Alumni ,71-80,Male,Married,1
MN,Alumni ,41-50,Female,,0
MN,Alumni ,0-0,Male,,0
WI,Attended Didn't Graduate ,0-0,Male,,0
WI,Alumni ,51-60,Female,Single,1
AZ,Alumni ,61-70,Female,Married,0
IL,Alumni ,0-0,Male,Married,0
WI,Business ,0-0,,,1
,Attended Didn't Graduate ,31-40,Female,,0
MN,Parent ,0-0,Male,Married,0
MN,Alumni ,21-30,Male,,0
,Attended Didn't Graduate ,0-0,Male,,0
IL,Alumni ,31-40,Female,,0
WI,Alumni ,41-50,Female,Single,0
MN,Alumni ,31-40,Female,Married,0
WI,Attended Didn't Graduate ,21-30,Unknown,,0
WI,Parent ,0-0,Unknown,,0
MN,Alumni ,21-30,Female,,0
MN,Alumni ,41-50,Female,Single,0
MN,Parent ,0-0,Unknown,Married,0
,Students ,21-30,Unknown,,0
MN,Parent ,0-0,Unknown,,0
,Alumni ,0-0,Unknown,,1
,Attended Didn't Graduate ,31-40,Unknown,,0
SC,Alumni ,71-80,Male,,1
MN,Alumni ,0-0,Female,Married,1
MN,Business ,0-0,,,1
WI,Alumni ,0-0,Female,,0
WI,Alumni ,0-0,Male,,0
,Students ,21-30,Female,,0
,Alumni ,21-30,Female,,0
,Students ,21-30,Male,,0
WI,Parent ,0-0,Male,Married,0
MN,Alumni ,0-0,Male,Married,0
MN,Alumni ,0-0,Unknown,,0
WI,Alumni ,0-0,Female,,1
WI,Alumni ,41-50,Female,Married,0
NJ,Alumni ,41-50,Male,Single,0
MN,Alumni ,31-40,Male,,0
MN,Parent ,0-0,Unknown,,0
FL,Alumni ,61-70,Female,Married,0
WI,Friend ,0-0,Unknown,,0
,Students ,21-30,Male,,0
,Foundation ,0-0,,,1
MN,Parent ,0-0,Unknown,,0
,Students ,21-30,Male,,0
WI,Parent ,0-0,Female,Married,0
MN,Alumni ,41-50,Female,Married,0
,Attended Didn't Graduate ,0-0,Male,,0
WI,Alumni ,0-0,Female,,1
MN,Alumni ,21-30,Female,,0
MI,Alumni ,0-0,Male,Married,1
OH,Attended Didn't Graduate ,61-70,Female,,0
AE,Parent ,0-0,Unknown,Married,0
MN,Alumni ,41-50,Female,Married,0
MN,Alumni ,51-60,Female,Married,1
WI,Alumni ,0-0,Female,Married,1
IL,Business ,0-0,,,0
MN,Business ,0-0,,,0
WI,Business ,0-0,,,1
WI,Business ,0-0,,,1
WI,Business ,0-0,,,1
MN,Other Organizations ,0-0,,,1
WI,Other Organizations ,0-0,,,1
WI,Business ,0-0,,,1
WI,Friend ,0-0,Female,,0
MN,Business ,0-0,,,1
MN,Business ,0-0,,,1
MN,Alumni ,31-40,Male,Single,0
WI,Business ,0-0,,,1
,Students ,21-30,Female,,0
,Attended Didn't Graduate ,0-0,Female,,0
